train_loss,test_loss,test_acc
1.9411655203924105,1.4168050670840238,0.76
1.2482068708506084,0.8499834876068826,0.823
0.9090433266644521,0.6261507382094105,0.856
0.7476625363321191,0.5254638628677856,0.876
0.6545849951940673,0.4649825263299861,0.888
0.5940546893749852,0.42559645874000557,0.892
0.5611506504376851,0.4014866237481861,0.892
0.5187565356748826,0.38034546964872706,0.894
0.491682121258683,0.36305192684151133,0.9
0.46809581950793727,0.35257311387363305,0.9
0.4533549116940494,0.33866700173270076,0.9
0.43611534874074237,0.32874327698498923,0.903
0.41205762633723164,0.32098426447147443,0.907
0.4012208455822131,0.3131011978406305,0.905
0.3935485885912155,0.3068655115505152,0.914
0.37913370912652083,0.2995986519355203,0.911
0.3681232064096228,0.2957738033086905,0.915
0.3632335719002327,0.29148019421067173,0.913
0.34578843834443657,0.2865144646358517,0.915
0.3356283247937571,0.2814247096709193,0.92
0.3303981645825053,0.2787157405592197,0.922
0.3212978803627997,0.2747260434236423,0.923
0.3177296249162224,0.269000081399012,0.921
0.31301164070023174,0.2635919831950592,0.922
0.3101628915735412,0.25918558706794265,0.92
0.30023449132718344,0.25892697401755216,0.922
0.2947682891218518,0.2510602038587105,0.925
0.28670020116118683,0.25005052597743593,0.925
0.2867658868944549,0.24881257131807935,0.926
0.2774504207355624,0.24266740347466317,0.926
0.27129079973225717,0.24097059571482363,0.927
0.26466045950842465,0.23745204141840334,0.927
0.2711018841369937,0.23564117603336635,0.927
0.25610605280019033,0.22979909982713803,0.928
0.25560744059576523,0.23164419593187702,0.927
0.25291082462809256,0.23074894769807164,0.928
0.241132221220281,0.2283300863764117,0.931
0.2410868642034864,0.22631317659448028,0.928
0.23095003629171684,0.2246190957357555,0.928
0.23569923764377482,0.22028756990397252,0.931
