train_loss,test_loss,test_acc
0.4106232884657132,0.22816789768919582,0.929
0.19819498994009024,0.20628920619820795,0.938
0.14723458103748285,0.2114188204129781,0.941
0.12196546168912656,0.23943650563748511,0.949
0.09387152713186404,0.21118130587120915,0.94
0.11301652066454336,0.22305012072236305,0.949
0.08495675215833015,0.18552913334705354,0.956
0.0630977586266814,0.17951938872970105,0.951
0.07280526626330766,0.21899636949639834,0.955
0.061915579289731175,0.24490312577337175,0.947
0.052533287766474576,0.26717565750691286,0.954
0.0750255317722757,0.3434072936652356,0.945
0.07328214274994416,0.40490916621619405,0.945
0.07476642545405607,0.35486720704806207,0.944
0.07376201385225291,0.3074744858848958,0.957
0.06258433648604246,0.27356824543382235,0.958
0.0923047859329666,0.38625161272780645,0.938
0.051103901521516594,0.39243323451618634,0.951
0.027344062307859043,0.386476747478976,0.953
0.02075168687830291,0.3551722922294137,0.955
0.0652205691520685,0.5244364668840228,0.949
0.06320078691844634,0.477864674456238,0.949
0.0880457163188592,0.5247068983527542,0.951
0.054330194152377935,0.45263284797305814,0.948
0.07173393963588344,0.43747818033989444,0.955
0.060445016028697125,0.6961535845215894,0.938
0.06532794044702597,0.4153907586479526,0.95
0.03934947170257218,0.37569717337193675,0.957
0.017730506903698377,0.4017178446902211,0.963
0.021656229870790453,0.4824189254710695,0.961
0.04646255975673154,0.5341984463938063,0.947
0.09560458663789961,0.5589501161226194,0.951
0.07132025906379379,0.5292944173232678,0.936
0.05703433445089226,0.4986069917681843,0.96
0.01749346415720341,0.5896171052284988,0.949
0.017833132475473124,0.5378169845298625,0.955
0.01875262271690984,0.613473967362522,0.953
0.030601525898327972,0.4938430214909516,0.954
0.021709457286896522,0.5127287278439878,0.951
0.03256753407400654,0.6345791722419426,0.949
