train_loss,test_loss,test_acc
0.579049356290271,0.25237302253241567,0.924
0.320541715597447,0.21360453503797822,0.933
0.28677147176763307,0.2590568827000723,0.937
0.24563527463908622,0.2019604246182714,0.935
0.2731303005349701,0.24694427252307743,0.94
0.21351936655705933,0.2552655544395659,0.928
0.20598199692203328,0.2478017471017739,0.94
0.22112954379290947,0.2845947623861476,0.932
0.24982224574024262,0.2705326854947906,0.937
0.19342536455077927,0.2194436008679918,0.946
0.18744131656258714,0.22821768773540496,0.945
0.17390840868337654,0.23154780488686386,0.95
0.21631799648606348,0.19647297496203014,0.948
0.16760747675179075,0.219206217976164,0.944
0.17790609939241028,0.251403134324404,0.944
0.17590245821988496,0.2794482512124431,0.941
0.18943338922629385,0.2568202886210143,0.949
0.1842767087476917,0.1985766574667294,0.944
0.1715861240329373,0.25356826903688906,0.943
0.1657048412642477,0.33543179412542745,0.938
0.1666873900956591,0.2366063890241376,0.947
0.1343402647518721,0.21481106811218686,0.946
0.16617480347716254,0.27009998829036397,0.943
0.15060603909015227,0.3021395628468076,0.936
0.18582679172150232,0.2519893806266627,0.944
0.17386321171999874,0.29665064581667444,0.942
0.15310802722908845,0.3449018696795395,0.945
0.16137989105486084,0.34378843976534057,0.94
0.15735590564457294,0.2813331142266536,0.94
0.1267915709899573,0.31088517967237433,0.954
0.1276801051386159,0.3287755771400096,0.951
0.13163043516850287,0.2958813532860637,0.949
0.13436104828522225,0.31056899553131984,0.949
0.14085461783598188,0.27665035590127246,0.943
0.15111398615416652,0.33820276847546965,0.952
0.186226257733337,0.30496369236384574,0.953
0.14421117238301812,0.2883522786652748,0.95
0.1406340093146573,0.28814009293912235,0.954
0.1348107217949493,0.3676556044372999,0.952
0.1494420170781174,0.4194197830134664,0.95
