train_loss,test_loss,test_acc
0.4845227992338459,0.214031352990177,0.94
0.24173842020091232,0.21411351165145195,0.939
0.19047534760844867,0.23192021032447463,0.941
0.18595287301246005,0.18936134200855265,0.943
0.16691062179953953,0.2365893724386679,0.94
0.13618002921900546,0.22809189817842704,0.95
0.12655628022414786,0.22269830131722612,0.947
0.1237336535484744,0.2525824016615526,0.944
0.14080462224993384,0.2677025049505225,0.94
0.12425828619088775,0.2820925424993063,0.95
0.11141933765308189,0.26595785452628107,0.954
0.12749144914701463,0.2985985605369373,0.943
0.08361261923276245,0.23018333456352216,0.955
0.09984175072678385,0.2692417137460337,0.944
0.1200139281766683,0.32983794435220626,0.941
0.12208956104762568,0.2623956443595258,0.945
0.13966252294940493,0.460521168650485,0.946
0.09959547456881673,0.3223885668962735,0.956
0.08998653495113702,0.26829519039283783,0.945
0.10002417904732035,0.3029691748317045,0.951
0.09175379320305993,0.2698137835011236,0.953
0.1123551165955964,0.28327137794926543,0.952
0.13064867303082517,0.30324898099505343,0.95
0.12031886291780533,0.28355820853513497,0.959
0.11209907917707652,0.2509650642214987,0.956
0.09557090462138368,0.3045386374027346,0.95
0.11383844767306348,0.31423131095870716,0.952
0.09521829850179629,0.3169729524044457,0.958
0.09180793857047631,0.4406279765902477,0.947
0.09259905997497236,0.4347820920410291,0.954
0.1301751322861639,0.38561356289130877,0.951
0.09514694567155617,0.4774740366638759,0.946
0.10459826640868841,0.36971317948502064,0.957
0.07598933649147191,0.5519174931332652,0.95
0.08472006715494423,0.4816047077232273,0.957
0.0907120239487782,0.5502618476861375,0.955
0.09940162972936135,0.3459655484005171,0.955
0.08540616922869529,0.4435518805462482,0.956
0.06184913023434708,0.39273237764850755,0.96
0.08116738383211428,0.4657440206906534,0.952
