train_loss,test_loss,test_acc
1.8610481491838962,1.3712004623987168,0.734
1.1133365326927112,0.8118572572554926,0.826
0.7698922553772551,0.5964815838785653,0.861
0.6172279499887066,0.49622096415079026,0.878
0.5423772270467714,0.44475081749127826,0.884
0.4889884725826069,0.4138130085286872,0.886
0.4520897486063048,0.38572623564110764,0.896
0.42538183819325265,0.3669334067258125,0.897
0.4073342332741731,0.35393541720398936,0.9
0.38155304148235625,0.3427531011596294,0.9
0.3666761162531155,0.33249020980581095,0.903
0.3540898439466662,0.3255061303081992,0.905
0.3418117152412864,0.3157916643226951,0.904
0.33450039814249666,0.3087440598734939,0.912
0.3195996887094335,0.3045310293698412,0.908
0.31275865014034904,0.29758772142557727,0.914
0.3027858260594708,0.29359752617442736,0.913
0.30203404608196854,0.2897867475556121,0.917
0.28730529538154165,0.2832634528620211,0.918
0.28525201681052564,0.2783497053258381,0.921
0.275069809280818,0.275994070719333,0.922
0.2675751141115619,0.2729452248203293,0.924
0.26674472098260454,0.2680190943065448,0.924
0.2577056249428423,0.2658557865053163,0.921
0.24547455315313738,0.26455010899869547,0.923
0.24767009750626193,0.2598136531901636,0.924
0.23988647103679425,0.2550970735355273,0.925
0.2387123234057663,0.2513452152111904,0.928
0.23574550631385752,0.2468036308792042,0.929
0.2317449445466519,0.24442548247947665,0.929
0.21882726147619175,0.24289805275186105,0.928
0.2163923284880957,0.24248790335162732,0.929
0.21356429831849527,0.24016295321472775,0.928
0.21129017798264327,0.23769311424422288,0.933
0.2026251074645449,0.2338093717100776,0.93
0.20062659574532984,0.23169701165524914,0.935
0.20018170114974776,0.23236582657980645,0.934
0.19239746896145915,0.22884529722059008,0.935
0.19273185893635456,0.22997833278711524,0.936
0.186642814284616,0.2278595413713528,0.934
